Transcript ID,Strand,1st ORF on transcript,Last ORF on transcript,5' TSS,3' End,Length,Is mRNA?,ORFs per transcript,5' UTR length,3' UTR length,Mean RNA sequencing over transcript,mRNA / cell
182,1,637800725,637800725,2345083,2347311,2227,1,1,10,71,3.3916554509,0.113200086
183,1,637800769,637800770,2390070,2391011,940,1,2,51,67,26.7898089172,0.8941381922
184,1,637800771,637800772,2391091,2392490,1398,1,2,18,150,13.0142857143,0.434365543
185,1,637800915,637800915,2546827,2547600,772,1,1,23,43,8.7416020672,0.2917602097
186,1,637800919,637800919,2551597,2552565,967,1,1,100,101,10.1795665635,0.3397537947
187,1,637800983,637800983,2613976,2614616,639,1,1,22,238,7.7316692668,0.2580526349
188,1,637801000,637801000,2628487,2629560,1072,1,1,0,0,2.1834264432,0.0728741656
189,1,637801062,637801062,2691079,2691501,421,1,1,25,77,22.4822695035,0.7503695105
190,0,637798556,637798555,151951,150187,1765,1,2,33,0,4.4645892351,0.1490103852
191,0,637799179,637799179,757924,757356,569,1,1,329,0,16.4253075571,0.548212003
192,0,637799704,637799704,1299183,1298515,669,1,1,26,115,20.0941704036,0.6706641786
193,0,637799737,637799733,1334160,1330715,3446,1,4,78,37,9.9155542658,0.3309421053
194,0,637800153,637800153,1783922,1783194,729,1,1,19,56,4.9341563786,0.164682685
195,0,637800258,637800255,1891859,1886477,5383,1,4,71,0,4.4306148988,0.1478764559
196,0,637800552,637800549,2188470,2184670,3801,1,4,16,70,6.1931070771,0.2067014954
197,0,637801065,637801064,2693852,2692127,1726,1,2,95,26,5.9241019699,0.1977231656
198,1,637798444,637798445,37103,39048,1944,1,2,27,41,17.2965056526,0.5772891602
199,1,637798662,637798662,252873,254114,1240,1,1,0,15,8.6787439614,0.289662254
200,1,637799015,637799015,592890,593710,819,1,1,0,77,47.3459196102,1.5802201163
201,1,637799213,637799213,792003,792514,510,1,1,7,244,32.76171875,1.0934569957
202,1,637799621,637799621,1222619,1223615,995,1,1,79,120,7.2276830491,0.2412315621
203,1,637799622,637799622,1223689,1224259,569,1,1,32,38,9.7933450088,0.3268632422
204,1,637799756,637799758,1355765,1361316,5550,1,2,22,215,6.1520172911,0.2053300804
205,1,637800479,637800479,2103270,2104528,1257,1,1,0,20,2.4630659253,0.082207429
206,1,637800776,637800776,2394621,2395962,1340,1,1,215,35,2.7540983607,0.0919209442
207,1,637798421,637798421,15017,15635,617,1,1,3,31,3.8546042003,0.1286514899
208,1,637798711,637798711,303531,304388,856,1,1,284,343,18.7412587413,0.6255093218
209,1,637799534,637799535,1125340,1126740,1399,1,2,33,0,3.8201284797,0.1275008263
210,1,637799536,637799536,1126884,1127673,788,1,1,17,146,20.4721518987,0.6832797107
211,0,637800010,637800010,1642171,1640228,1944,1,1,138,33,7.0318930041,0.2346968624
212,1,637800859,637800859,2484135,2484449,313,1,1,2,28,2.7428571429,0.0915457566
213,0,637798755,637798755,342844,341831,1014,1,1,401,52,10.7406311637,0.3584799189
214,0,637798992,637798992,566096,565318,779,1,1,17,36,10.784338896,0.3599387109
215,0,637799248,637799248,826071,825198,874,1,1,66,205,3.3821510297,0.1128828659
216,0,637799420,637799420,1013736,1011817,1920,1,1,0,69,6.815625,0.2274786892
217,0,637799428,637799427,1021203,1018664,2540,1,2,17,240,3.9145669291,0.1306528093
218,0,637799560,637799560,1155962,1155610,353,1,1,0,44,2.7705382436,0.0924696426
219,0,637799679,637799678,1274439,1273558,882,1,2,179,63,403.8900226757,13.4802564593
220,0,637799981,637799981,1605813,1604265,1549,1,1,175,54,9.3653970303,0.312580026
221,0,637800280,637800277,1906834,1903434,3401,1,4,0,224,18.9214936783,0.6315248535
222,0,637800289,637800288,1916102,1913096,3007,1,2,266,760,30.7016960426,1.0247015601
223,0,637800455,637800455,2080140,2079447,694,1,1,0,46,186.4524495677,6.2230476041
224,0,637800704,637800703,2326912,2325965,948,1,2,80,96,22.3776371308,0.7468772946
225,0,637800793,637800793,2413259,2412526,734,1,1,333,62,97.3460490463,3.2490272914
226,1,637798418,637798418,12286,13053,766,1,1,35,25,8.19921875,0.2736575932
227,1,637798982,637798982,555549,556442,892,1,1,63,0,4.3210290828,0.1442189134
228,1,637799470,637799473,1060891,1063668,2776,1,4,0,105,533.5745140389,17.8086134457
229,1,637799475,637799478,1064646,1068489,3842,1,3,0,1001,42.4690426639,1.4174491927
230,1,637799721,637799721,1313543,1313996,452,1,1,18,67,5.8964757709,0.196801112
231,1,637799841,637799841,1460822,1461926,1103,1,1,25,57,3.1773755656,0.1060482683
232,1,637799845,637799845,1464879,1465717,837,1,1,62,21,2.789034565,0.0930869769
233,1,637800025,637800033,1659081,1667052,7970,1,9,38,22,22.1756146513,0.7401345808
234,1,637800266,637800266,1895669,1896322,652,1,1,38,97,5.5535168196,0.1853544945
235,1,637800290,637800290,1916535,1917884,1348,1,1,85,68,62.4185185185,2.0832840381
236,1,637800354,637800354,1989698,1989894,195,1,1,31,76,668.4416243655,22.3099458232
237,1,637800702,637800702,2324983,2325976,992,1,1,537,52,106.9788732394,3.5705329803
238,1,637801057,637801058,2685047,2687350,2302,1,2,4,35,6.1232638889,0.2043704052
239,0,637798493,637798492,86493,82871,3623,1,2,18,0,9.3866961082,0.3132909053
240,0,637798537,637798537,132540,129670,2871,1,1,45,0,3.1274817137,0.1043830083
241,0,637799197,637799196,776546,772571,3976,1,2,26,14,6.0827464789,0.2030180938
242,0,637799661,637799660,1253515,1251874,1642,1,2,26,56,65.6711327649,2.1918434767
243,0,637799752,637799752,1351449,1350414,1036,1,1,16,0,2.9942084942,0.0999348737
244,0,637800301,637800301,1931204,1930340,865,1,1,22,135,12.3768786127,0.4130914072
245,0,637800349,637800349,1985128,1984245,884,1,1,47,402,53.5950226244,1.7887905352
246,0,637800427,637800426,2052859,2051884,976,1,2,28,7,40.6577868852,1.3569966167
247,0,637800636,637800636,2269154,2268382,773,1,1,0,41,2.1927554981,0.0731855327
248,0,637800699,637800698,2321992,2318286,3707,1,2,12,49,9.3649851632,0.3125662795
249,0,637800805,637800805,2424690,2422903,1788,1,1,244,98,5.4602908277,0.1822429785
250,0,637800901,637800898,2532028,2526835,5194,1,4,70,141,21.281671159,0.7102982718
251,0,637800961,637800960,2592198,2590211,1988,1,2,75,45,14.3521126761,0.4790169323
252,1,637798414,637798414,8938,10272,1333,1,1,26,106,10.6232209738,0.3545612297
253,1,637798654,637798654,244642,245832,1189,1,1,0,0,3.8992443325,0.1301414015
254,1,637798665,637798665,255437,255860,422,1,1,37,54,61.0966981132,2.0391668847
255,1,637798897,637798897,477172,479605,2432,1,1,223,165,12.1006573541,0.4038722306
256,1,637799383,637799384,971780,973421,1640,1,2,76,71,10.9658952497,0.365998346
257,1,637799673,637799673,1268332,1269671,1338,1,1,33,8,3.3813432836,0.1128559065
258,1,637799681,637799681,1275511,1276834,1322,1,1,45,1,2.8678247734,0.0957166834
259,1,637799800,637799800,1406616,1407034,417,1,1,41,42,3.6348448687,0.1213167899
260,1,637799819,637799820,1432834,1434372,1537,1,2,19,0,7.6419753086,0.2550590043
261,1,637800016,637800016,1648183,1648786,602,1,1,27,40,4.6639072848,0.1556628358
262,1,637800059,637800059,1692219,1692957,737,1,1,46,0,2.7875507442,0.0930374528
263,1,637800209,637800210,1835596,1836928,1331,1,2,0,134,5.384096024,0.1796998963
264,1,637800341,637800341,1972742,1973413,670,1,1,90,0,8.8467261905,0.2952688385
265,1,637800414,637800414,2040450,2040942,491,1,1,24,91,55.7748478702,1.8615445072
266,1,637800922,637800924,2554961,2558207,3245,1,3,42,91,14.5441946412,0.4854278708
267,0,637799234,637799233,812814,810101,2714,1,2,91,80,4.0810611643,0.1362097304
268,0,637800446,637800446,2071216,2070344,873,1,1,50,4,4.9725085911,0.1659627307
269,1,637800439,637800439,2064105,2065001,895,1,1,75,105,3.2095875139,0.1071233761
270,1,637800832,637800834,2451329,2457162,5832,1,3,55,61,4.4578333905,0.1487849018
271,1,637800985,637800985,2615756,2619110,3353,1,1,55,0,4.7338301043,0.1579965838
272,0,637798754,637798754,341785,340583,1203,1,1,17,115,19.4522028263,0.6492378324
273,0,637798813,637798813,400694,399933,762,1,1,23,496,51.9278215223,1.7331459361
274,0,637798904,637798903,484524,483622,903,1,2,20,12,18.0819490587,0.6035041643
275,0,637799077,637799077,662999,662165,835,1,1,21,67,5.8598802395,0.1955796975
276,0,637799112,637799112,692744,691766,979,1,1,0,58,92.7456588355,3.0954844051
277,0,640711037,637799398,989730,988066,1665,0,3,0,8,7817.4702702703,0
278,0,637799416,637799416,1005464,1005181,284,1,1,32,75,134.9788732394,4.505062579
279,0,637799606,637799605,1211558,1209962,1597,1,2,29,69,33.8065122104,1.1283280818
280,0,637799833,637799833,1453210,1452599,612,1,1,106,128,20.0588235294,0.6694844395
281,0,637800112,637800111,1744202,1743034,1169,1,2,36,155,32.9580838323,1.1000108878
282,0,637800118,637800118,1748937,1747623,1315,1,1,79,219,11.0585551331,0.3690909674
283,0,637800468,637800466,2092338,2090084,2255,1,3,117,4,17.7804878049,0.5934425761
284,0,637800494,637800493,2126269,2121474,4796,1,2,233,47,969.1382402002,32.3460132415
285,0,637800566,637800561,2202518,2197267,5252,1,6,9,23,54.6502284844,1.8240091462
286,0,637800696,637800696,2316536,2315997,540,1,1,49,65,53.2574074074,1.7775222706
287,0,637800757,637800757,2377768,2377026,743,1,1,65,81,82.8559892328,2.7654062275
288,0,637800775,637800775,2394792,2394295,498,1,1,24,0,3.6104417671,0.1205023106
289,0,637800785,637800785,2405650,2404547,1104,1,1,100,50,5.7327898551,0.1913379215
290,0,637800914,637800913,2546705,2545468,1238,1,2,119,0,27.2907915994,0.9108590187
291,0,637801020,637801018,2650051,2647628,2424,1,3,19,0,8.1806930693,0.273039279
292,1,637798507,637798508,101141,103351,2209,1,2,118,114,39.0886476707,1.3046249365
293,1,637798616,637798617,212474,214384,1909,1,2,22,0,3.9644165358,0.1323165927
294,1,637799195,637799195,770130,772797,2666,1,1,1,204,12.4677661169,0.4161248739
295,1,637799307,637799307,896574,901397,4822,1,1,174,39,65.5234245439,2.1869135588
296,1,637799361,637799362,950193,952740,2546,1,2,44,0,19.1856357928,0.6403408756
297,1,637799512,637799514,1102054,1104620,2565,1,2,50,50,65.8001558239,2.1961497578
298,1,640711039,640711039,1174969,1175043,73,0,1,0,1,23229.2933333333,0
299,1,637799897,637799899,1518990,1521363,2372,1,3,4,0,15.6415332772,0.5220527079
300,1,637800043,637800043,1675408,1678942,3533,1,1,48,73,13.9021216407,0.4639980057
301,1,637800181,637800181,1812770,1813884,1113,1,1,44,51,135.8143497758,4.5329474938
302,1,637800182,637800183,1814067,1815833,1765,1,2,25,0,28.9767968308,0.9671312255
303,1,637800274,637800276,1901752,1903694,1941,1,3,20,37,9.6397323726,0.3217362581
304,1,637800554,637800554,2189096,2190916,1819,1,1,45,0,7.8171334432,0.2609050921
305,1,637800595,637800595,2232968,2234022,1053,1,1,11,0,2.9336492891,0.0979136462
306,1,640711051,640711051,2318309,2318382,72,0,1,0,1,118520.283783784,0
307,1,637800841,637800841,2467567,2469228,1660,1,1,121,95,6.5240673887,0.2177476457
308,1,637800962,637800963,2592269,2594283,2013,1,2,16,125,11.4521091811,0.3822262499
309,0,637799444,637799444,1039108,1038106,1003,1,1,10,0,3.4835493519,0.1162671421
310,0,637800581,637800579,2216310,2213482,2829,1,3,23,177,6.2513255567,0.2086445987
311,0,640711067,637801030,2666924,2662164,4761,0,5,0,5,1416.1478680949,0
312,1,637800139,637800140,1767933,1768738,804,1,2,20,56,7.3982630273,0.2469248492
313,0,637798603,637798602,198957,196019,2939,1,2,24,75,8.5750255189,0.2862005413
314,0,637798762,637798760,349217,346811,2407,1,3,71,21,11.2791857084,0.3764547463
315,0,637798951,637798951,526833,526223,611,1,1,20,27,5.6055646481,0.1870916458
316,0,637799054,637799053,636694,634074,2621,1,2,24,15,6.1724532621,0.2060121525
317,0,637799584,637799584,1192560,1189283,3278,1,1,112,22,9.1388041489,0.3050172491
