Array Design Name	Affymetrix Custom GeneChip Synechococcus 2516 ORFs v1.0.
Provider	Hideo Iwasaki(hideo-iwasaki@waseda.jp)
Comment[ArrayExpressAccession]	A-GEOD-8012
Comment[SecondaryAccession]	GPL8012
Comment[Description]	Array Manufacturer: Affymetrix, Distribution: non-commercial, Technology: in situ oligonucleotide<br>Comment[7942_ID] = S. elongatus PCC 7942 gene ID  (cf. Complete Genomic Sequence GenBank Accession number NC_007604)<br>Comment[6301_ID] = S. elongatus PCC 6301 gene ID of sequence used to design oligonucleotide probe (cf. Complete Genomic Sequence GenBank Accession number NC_006576)<br>Comment[SYMBOL] = Gene symbol name<br>Comment[ORF] = LINK_PRE:http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?CMD=search&DB=gene&cmd=search&term= LINK_SUF:[gene name]<br>Comment[DESCRIPTION] = Gene description
Comment[SubmittedName]	Affymetrix Custom GeneChip Synechococcus 2516 ORFs v1.0.
Comment[Organism]	Synechococcus elongatus PCC 7942 Synechococcus elongatus PCC 6301
Printing Protocol	Affymetrix prokaryotic array protocol (see Affymetrix website)
Surface Type	
Substrate Type	
Term Source Name

Reporter Name	Comment[7942_ID]	Comment[6301_ID]	Comment[SYMBOL]	Comment[ORF]	Comment[DESCRIPTION]
syc0014-m_at	Synpcc7942_1556	syc0014_d		syc0014	
syc0015-h_at	Synpcc7942_1557	syc0015_c	rpoD6	syc0015	group 2 RNA polymerase sigma factor
syc0016-m_at	Synpcc7942_1558	syc0016_d		syc0016	
syc0017-m_at	Synpcc7942_1559	syc0017_d		syc0017	hypothetical protein
syc0018-m_at	Synpcc7942_1560	syc0018_d		syc0018	
syc0019-h_at	Synpcc7942_1561	syc0019_c		syc0019	
syc0020-h_at	Synpcc7942_1562	syc0020_c		syc0020	hypothetical protein
syc0021-h_at	Synpcc7942_1563	syc0021_c		syc0021	signal transduction inhibitor
syc0022-m_at	Synpcc7942_1564	syc0022_d		syc0022	
syc0023-m_at	Synpcc7942_1565	syc0023_d		syc0023	hypothetical protein
syc0024-m_at	Synpcc7942_1566	syc0024_d	ppk	syc0024	polyphosphate kinase
syc0025-h_at	Synpcc7942_1568	syc0025_c		syc0025	
syc0026-h_at	Synpcc7942_1569	syc0026_c		syc0026	hypothetical protein
syc0027-h_at	Synpcc7942_1570	syc0027_c	pacS	syc0027	copper transporting CPx-type ATPase PacS
syc0028-m_at	Synpcc7942_1571	syc0028_d		syc0028	pore-forming membrane protein
syc0029-m_at	Synpcc7942_1572	syc0029_d		syc0029	dehydrogenase subunit-like protein
syc0030-m_at	Synpcc7942_1573	syc0030_d		syc0030	3-oxoacyl-[acyl-carrier protein] reductase
syc0031-m_at	Synpcc7942_1574	syc0031_d		syc0031	probable glucosidase
syc0032-m_at	Synpcc7942_1575	syc0032_d	malQ	syc0032	MalQ (glycogen debranching enzyme-related protein)
syc0033-m_at	Synpcc7942_1576	syc0033_d		syc0033	putative channel transporter
syc0034-h_at	Synpcc7942_1577	syc0034_c	argS	syc0034	arginyl-tRNA-synthetase
syc0035-h_at	Synpcc7942_1578	syc0035_c	tatC, ycf43	syc0035	sec-independent protein translocase protein TatC
syc0036-m_at	Synpcc7942_1579	syc0036_d		syc0036	hypothetical protein
syc0037-h_at	Synpcc7942_1580	syc0037_c		syc0037	hypothetical protein
syc0038-m_at	Synpcc7942_1581	syc0038_d		syc0038	hypothetical protein
syc0039-h_at	Synpcc7942_1582	syc0039_c		syc0039	thiophen and furan oxidation protein
syc0040-m_at	Synpcc7942_1583	syc0040_d		syc0040	hypothetical protein
syc0041-h_at	Synpcc7942_1584	syc0041_c		syc0041	hypothetical protein
syc0042-h_at	Synpcc7942_1585	syc0042_c		syc0042	hypothetical protein
syc0043-m_at	Synpcc7942_1586	syc0043_d		syc0043	two-component sensor histidine kinase
syc0044-h_at	Synpcc7942_1587	syc0044_c		syc0044	hypothetical protein
syc0045-h_at	Synpcc7942_1588	syc0045_c		syc0045	probable chloride channel protein
syc0046-h_at	Synpcc7942_1589	syc0046_c	pmbA	syc0046	PmbA protein homolog
syc0047-h_at	Synpcc7942_1590	syc0047_c		syc0047	hypothetical protein
syc0048-h_at	Synpcc7942_1591	syc0048_c	nbp1, rps1b	syc0048	nucleic acid-binding protein  30S ribosomal protein S1-like
syc0049-m_at	Synpcc7942_1592	syc0049_d		syc0049	creatinine amidohydrolase
syc0050-m_at	Synpcc7942_1593	syc0050_d		syc0050	hypothetical protein
syc0051-m_at	Synpcc7942_1594	syc0051_d		syc0051	hypothetical protein
syc0052-m_at	Synpcc7942_1595	syc0052_d	accA	syc0052	acetyl-CoA carboxylase alpha subunit
syc0053-m_at	Synpcc7942_1596	syc0053_d	acdS	syc0053	probable short-chain dehydrogenase
syc0054-m_at	Synpcc7942_1597	syc0054_d	folE	syc0054	GTP cyclohydrolase I
syc0055-m_at	Synpcc7942_1598	syc0055_d		syc0055	hypothetical protein
syc0056-m_at	Synpcc7942_1599	syc0056_d		syc0056	hypothetical protein
syc0057-m_at	Synpcc7942_1600	syc0057_d		syc0057	similar to 5'5'''-P-1P-4-tetraphosphate phosphorylase II
syc0058-h_at	Synpcc7942_1601	syc0058_c		syc0058	hypothetical protein
syc0059-m_at	Synpcc7942_1602	syc0059_d		syc0059	probable tRNA/rRNA methyltransferase
syc0060-m_at	Synpcc7942_1603	syc0060_d	ampC, penP	syc0060	beta-lactamase
syc0061-m_at	Synpcc7942_1604	syc0061_d		syc0061	hypothetical protein
syc0062-h_at	Synpcc7942_1605	syc0062_c		syc0062	
syc0063-m_at	Synpcc7942_1606	syc0063_d		syc0063	hypothetical protein
syc0064-h_at	Synpcc7942_1607	syc0064_c		syc0064	probable porin; major outer membrane protein
syc0065-m_at	Synpcc7942_1608	syc0065_d	manC	syc0065	mannose-1-phosphate guanylyltransferase
syc0066-m_at	Synpcc7942_1609	syc0066_d		syc0066	ribonucleoside triphosphate reductase B
syc0067-h_at	Synpcc7942_1610	syc0067_c	pntB	syc0067	pyridine nucleotide transhydrogenase beta subunit
syc0068-h_at	Synpcc7942_1611	syc0068_c	pntA	syc0068	NAD(P) transhydrogenase subunit alpha
syc0069-h_at	Synpcc7942_1612	syc0069_c	pntA	syc0069	pyridine nucleotide transhydrogenase alpha subunit
syc0070-m_at	Synpcc7942_1613	syc0070_d		syc0070	hypothetical protein
syc0071-m_at	Synpcc7942_1614	syc0071_d	rpl34	syc0071	50S ribosomal protein L34
syc0072-m_at	Synpcc7942_1615	syc0072_d	rnpA	syc0072	ribonuclease P
syc0073-m_at	Synpcc7942_1616	syc0073_d		syc0073	hypothetical protein
syc0074-m_at	Synpcc7942_1617	syc0074_d	yidC	syc0074	preprotein translocase YidC subunit  60Kd inner membrane protein
syc0075-m_at	Synpcc7942_1618	syc0075_d		syc0075	hypothetical protein
syc0076-m_at		syc0076_d		syc0076	
syc0077-m_at	Synpcc7942_1619	syc0077_d		syc0077	hypothetical protein
syc0078-m_at	Synpcc7942_1620	syc0078_d	ycf46	syc0078	hypothetical protein YCF46
syc0079-h_at	Synpcc7942_1621	syc0079_c		syc0079	similar to Fe-S oxidoreductase
syc0080-m_at	Synpcc7942_1622	syc0080_d		syc0080	probable proteinase
syc0081-m_at	Synpcc7942_1623	syc0081_d		syc0081	
syc0082-h_at	Synpcc7942_1624	syc0082_c	ribC	syc0082	riboflavin synthase alpha chain
syc0083-h_at	Synpcc7942_1625	syc0083_c		syc0083	probable glycosyltransferase
syc0084-h_at	Synpcc7942_1626	syc0084_c		syc0084	
syc0085-h_at		syc0085_c		syc0085	
syc0086-h_at	Synpcc7942_1627	syc0086_c		syc0086	hypothetical protein
syc0087-m_at	Synpcc7942_1628	syc0087_d		syc0087	hypothetical protein
syc0088-m_at	Synpcc7942_1629	syc0088_d		syc0088	
syc0089-m_at	Synpcc7942_1630	syc0089_d	petJ	syc0089	cytochrome c553
syc0090-m_at	Synpcc7942_1631	syc0090_d		syc0090	CytB protein
syc0091-m_at	Synpcc7942_1632	syc0091_d		syc0091	
syc0092-m_at	Synpcc7942_1633	syc0092_d		syc0092	hypothetical protein
syc0093-h_at	Synpcc7942_1634	syc0093_c		syc0093	hypothetical protein
syc0094-h_at	Synpcc7942_1635	syc0094_c		syc0094	probable porin; major outer membrane protein
syc0095-m_at	Synpcc7942_1462	syc0095_d		syc0095	Iron-regulated protein A precursor
syc0096-m_at	Synpcc7942_1461	syc0096_d		syc0096	predicted thiol oxidoreductase
syc0097-m_at	Synpcc7942_1460	syc0097_d		syc0097	hypothetical protein
syc0098-m_at	Synpcc7942_1459	syc0098_d		syc0098	hypothetical protein
syc0099-m_at	Synpcc7942_1458	syc0099_d		syc0099	hypothetical protein
syc0100-h_at	Synpcc7942_1457	syc0100_c	plsC	syc0100	1-acyl-sn-glycerol-3-phosphate acyltransferase
syc0101-h_at	Synpcc7942_1456	syc0101_c		syc0101	malonyl coenzyme A-acyl carrier
syc0102-h_at	Synpcc7942_1455	syc0102_c	fabH	syc0102	3-oxoacyl-[acyl-carrier-protein] synthase III
syc0103-h_at	Synpcc7942_1454	syc0103_c	plsX	syc0103	fatty acid/phospholipid synthesis protein PlsX
syc0104-h_at	Synpcc7942_1453	syc0104_c		syc0104	two-component response regulator for energy transfer from phycobilisomes to photosystems  (OmpR subfamily)
syc0105-m_at	Synpcc7942_1452	syc0105_d	radA	syc0105	DNA repair protein RadA
syc0106-h_at	Synpcc7942_1451	syc0106_c		syc0106	hypothetical protein
syc0107-h_at	Synpcc7942_1450	syc0107_c	pstB	syc0107	phosphate transport system ATP-binding protein
syc0108-m_at	Synpcc7942_1449	syc0108_d		syc0108	UDP-3-o-[3-hydroxymyristoyl] glucosamine n-acyltransferase
syc0109-h_at	Synpcc7942_1448	syc0109_c	nadA	syc0109	quinolinate synthetase
syc0110-h_at	Synpcc7942_1447	syc0110_c	icfA	syc0110	carbonic anhydrase
syc0111-m_at	Synpcc7942_1446	syc0111_d		syc0111	
syc0112-m_at	Synpcc7942_1445	syc0112_d		syc0112	
syc0113-h_at	Synpcc7942_1443	syc0113_c		syc0113	fructose-bisphosphate aldolase class II
syc0114-h_at	Synpcc7942_1442	syc0114_c		syc0114	hypothetical protein
syc0115-m_at	Synpcc7942_1441	syc0115_d		syc0115	cobalamin biosynthetic protein
syc0116-m_at	Synpcc7942_1440	syc0116_d	thrB	syc0116	homoserine kinase
syc0117-m_at	Synpcc7942_1439	syc0117_d	ndhD2	syc0117	NADH dehydrogenase subunit 4
syc0118-m_at	Synpcc7942_1438	syc0118_d	pmgA	syc0118	photomixotrophic growth related protein, PmgA homolog
syc0119-m_at		syc0119_d	pmgA	syc0119	photomixotrophic growth related protein PmgA
syc0120-m_at	Synpcc7942_1436	syc0120_d		syc0120	
syc0121-m_at	Synpcc7942_1435	syc0121_d	menD	syc0121	menaquinone biosynthesis protein MenD
syc0122-m_at	Synpcc7942_1434	syc0122_d		syc0122	hypothetical protein
syc0123-h_at	Synpcc7942_1433	syc0123_c	argC	syc0123	N-acetyl-gamma-glutamyl-phosphate reductase
syc0124-m_at	Synpcc7942_1432	syc0124_d	ribA	syc0124	riboflavin biosynthesis protein RibA
syc0125-h_at	Synpcc7942_1431	syc0125_c	rot	syc0125	peptidyl-prolyl cis-trans isomerase (PPIase) (Rotamase)
syc0126-m_at	Synpcc7942_1430	syc0126_d		syc0126	
syc0127-m_at	Synpcc7942_1429	syc0127_d		syc0127	
syc0128-h_at	Synpcc7942_1428	syc0128_c	purK	syc0128	phosphoribosyl aminoimidazole carboxylase
syc0129-h_at	Synpcc7942_1427	syc0129_c	rbcS	syc0129	ribulose 1,5-bisphosphate carboxylase/oxygenase small subunit
syc0130-h_at	Synpcc7942_1426	syc0130_c	rbcL	syc0130	ribulose 1,5-bisphosphate carboxylase/oxygenase large subunit
syc0131-h_at	Synpcc7942_1425	syc0131_c	ccmO	syc0131	carbon dioxide concentrating mechanism protein CcmO
syc0132-h_at	Synpcc7942_1424	syc0132_c	ccmN	syc0132	carbon dioxide concentrating mechanism protein CcmN
syc0133-h_at	Synpcc7942_1423	syc0133_c	ccmM	syc0133	carbon dioxide concentrating mechanism protein CcmM, putative carboxysome structural protein
syc0134-h_at	Synpcc7942_1422	syc0134_c	ccmL	syc0134	carbon dioxide concentrating mechanism protein CcmL, putative carboxysome assembly protein
syc0135-h_at	Synpcc7942_1421	syc0135_c	ccmK1	syc0135	carbon dioxide concentrating mechanism protein CcmK, putative carboxysome assembly protein
syc0136-h_at	Synpcc7942_1420	syc0136_c	chlN	syc0136	light-independent protochlorophyllide reductase subunit N
syc0137-h_at	Synpcc7942_1419	syc0137_c	chlL	syc0137	Light-independent protochlorophyllide reductase subunit L
syc0138-h_at	Synpcc7942_1417	syc0138_c		syc0138	hypothetical protein
syc0139-h_at	Synpcc7942_1416	syc0139_c	topA	syc0139	DNA topoisomerase I
syc0140-m_at	Synpcc7942_1415	syc0140_d	ndhB	syc0140	NADH dehydrogenase subunit 2
syc0141-m_at	Synpcc7942_1414	syc0141_d		syc0141	ATP-binding protein of ABC transporter
syc0143-h_at	Synpcc7942_1413	syc0142_c		syc0142	hypothetical protein
syc0144-m_at	Synpcc7942_1412	syc0143_d		syc0143	hypothetical protein
syc0145-m_at	Synpcc7942_1411	syc0144_d		syc0144	hypothetical protein
syc0146-m_at	Synpcc7942_1410	syc0145_d	leuA	syc0145	2-isopropylmalate synthase
syc0147-h_at	Synpcc7942_1409	syc0146_c		syc0146	iron transport system substrate-binding protein
syc0148-h_at	Synpcc7942_1408	syc0147_c		syc0147	membrane-associated protein
syc0149-h_at	Synpcc7942_1407	syc0148_c	futB, hitB	syc0148	iron(III) ABC transporter permease protein
syc0150-m_at	Synpcc7942_1406	syc0149_d		syc0149	iron(III)-transport ATP-binding protein
syc0151-h_at	Synpcc7942_1405	syc0150_c		syc0150	hypothetical protein
syc0152-m_at	Synpcc7942_1404	syc0151_d		syc0151	two-component response regulator OmpR subfamily
syc0153-m_at	Synpcc7942_1403	syc0152_d		syc0152	hydroxyacylglutathione hydrolase
syc0154-h_at	Synpcc7942_1402	syc0153_c		syc0153	hypothetical protein
syc0155-m_at	Synpcc7942_1401	syc0154_d		syc0154	hypothetical protein
syc0156-m_at	Synpcc7942_1400	syc0155_d		syc0155	endo-1-beta-xylanase
syc0157-m_at	Synpcc7942_1399	syc0156_d		syc0156	hypothetical protein
syc0158-m_at	Synpcc7942_1398	syc0157_d		syc0157	UDP-glucose-beta-D-glucan glucosyltransferase
syc0159-h_at	Synpcc7942_1397	syc0158_c		syc0158	
syc0160-m_at	Synpcc7942_1396	syc0159_d		syc0159	hypothetical protein
syc0161-h_at	Synpcc7942_1395	syc0160_c		syc0160	
syc0162-h_at	Synpcc7942_1394	syc0161_c		syc0161	hypothetical protein
syc0163-h_at	Synpcc7942_1393	syc0162_c		syc0162	similar to histone deacetylase/AcuC/AphA family protein
syc0164-m_at	Synpcc7942_1392	syc0163_d		syc0163	alkaline phosphatase
syc0165-h_at	Synpcc7942_1391	syc0164_c	comM	syc0164	competence protein ComM homolog
syc0166-m_at	Synpcc7942_1390	syc0165_d		syc0165	protein kinase C inhibitor
syc0167-m_s_at	Synpcc7942_0893	syc0166_d	psbAII	syc0166	photosystem II reaction center D1 protein
syc0168-h_at	Synpcc7942_1388	syc0167_c		syc0167	carbonic anhydrase
syc0169-h_at	Synpcc7942_1387	syc0168_c		syc0168	hypothetical protein
syc0170-m_at	Synpcc7942_1386	syc0169_d		syc0169	probable adenosyltransferase
syc0171-m_at	Synpcc7942_1385	syc0170_d		syc0170	hypothetical protein
syc0172-h_at	Synpcc7942_1384	syc0171_c		syc0171	hypothetical protein
syc0173-m_at	Synpcc7942_1383	syc0172_d	ppa	syc0172	soluble inorganic pyrophosphatase
syc0174-h_at	Synpcc7942_1382	syc0173_c		syc0173	hypothetical protein
syc0175-h_at		syc0174_c		syc0174	ABC transporter
syc0176-h_at	Synpcc7942_1381	syc0175_c		syc0175	ABC transporter ATP binding protein
syc0177-h_at	Synpcc7942_1380	syc0176_c		syc0176	high affinity sulfate transporter
syc0178-h_at	Synpcc7942_1379	syc0177_c	accC	syc0177	acetyl-CoA carboxylase, biotin carboxylase subunit
syc0179-m_at	Synpcc7942_1378	syc0178_d		syc0178	hypothetical protein
syc0180-h_at	Synpcc7942_1377	syc0179_c		syc0179	GTP pyrophosphokinase
syc0181-m_at	Synpcc7942_1376	syc0180_d		syc0180	
syc0182-m_at	Synpcc7942_1375	syc0181_d		syc0181	hypothetical protein
syc0183-m_at	Synpcc7942_1374	syc0182_d	rluA	syc0182	ribosomal large subunit pseudouridine synthase D
syc0184-m_at	Synpcc7942_1373	syc0183_d		syc0183	hydrogenase accessory protein
syc0185-h_at	Synpcc7942_1372	syc0184_c	metH	syc0184	5-methyltetrahydrofolate--homocysteine methyltransferase
syc0186-m_at	Synpcc7942_1371	syc0185_d		syc0185	metal ion transporter, MIT family
syc0187-h_at	Synpcc7942_1369	syc0186_c	recR	syc0186	recombination protein RecR
syc0188-h_at	Synpcc7942_1368	syc0187_c		syc0187	
syc0189-h_at	Synpcc7942_1367	syc0188_c		syc0188	cytochrome P450
syc0190-m_at	Synpcc7942_1366	syc0189_d	menA	syc0189	14-dihydroxy-2-naphtoic acid prenyltransferase
syc0191-m_at	Synpcc7942_1365	syc0190_d		syc0190	
syc0192-h_at	Synpcc7942_1364	syc0191_c		syc0191	
syc0193-h_at	Synpcc7942_1362	syc0192_c		syc0192	
syc0194-h_at	Synpcc7942_1361	syc0193_c		syc0193	hypothetical protein
syc0195-h_at	Synpcc7942_1360	syc0194_c		syc0194	Cell envelope-related transcriptional attenuator
syc0196-m_at	Synpcc7942_1359	syc0195_d		syc0195	hypothetical protein
syc0197-m_at	Synpcc7942_1358	syc0196_d		syc0196	hypothetical protein
syc0198-m_at		syc0197_d		syc0197	
syc0199-m_at	Synpcc7942_1357	syc0198_d		syc0198	phytochrome-like two-component sensor histidine kinase
syc0200-m_at	Synpcc7942_1356	syc0199_d		syc0199	two-component response regulator CheY subfamily
syc0201-m_at	Synpcc7942_1355	syc0200_d		syc0200	two-component response regulator
syc0202-h_at	Synpcc7942_1354	syc0201_c		syc0201	putative export protein
syc0203-h_at	Synpcc7942_1353	syc0202_c		syc0202	hypothetical protein
syc0204-h_at	Synpcc7942_1352	syc0203_c		syc0203	acetyl-coenzyme A synthetase
syc0205-m_at	Synpcc7942_1351	syc0204_d		syc0204	hypothetical protein
syc0206-m_at	Synpcc7942_1349	syc0205_d		syc0205	hypothetical protein
syc0207-m_at	Synpcc7942_1347	syc0206_d	ldhA	syc0206	D-lactate dehydrogenase
syc0208-h_at	Synpcc7942_1346	syc0207_c	ndhE	syc0207	NADH dehydrogenase subunit 4L
syc0209-h_at	Synpcc7942_1345	syc0208_c	ndhG	syc0208	NADH dehydrogenase subunit 6
syc0210-h_at	Synpcc7942_1344	syc0209_c	ndhI	syc0209	NADH dehydrogenase subunit NdhI
syc0211-h_at	Synpcc7942_1343	syc0210_c	ndhA	syc0210	NADH dehydrogenase subunit 1
syc0212-h_at	Synpcc7942_1342	syc0211_c		syc0211	GDP-mannose 46-dehydratase
syc0213-h_at	Synpcc7942_1341	syc0212_c		syc0212	hypothetical protein
syc0214-m_at	Synpcc7942_1340	syc0213_d		syc0213	polypeptide deformylase
syc0215-m_at	Synpcc7942_1339	syc0214_d		syc0214	hypothetical protein
syc0216-m_at	Synpcc7942_1338	syc0215_d		syc0215	hypothetical protein
syc0217-h_at	Synpcc7942_1337	syc0216_c		syc0216	hypothetical protein
syc0218-h_at		syc0217_c		syc0217	
syc0219-h_at	Synpcc7942_1336	syc0218_c		syc0218	hypothetical protein
syc0220-h_at	Synpcc7942_1335	syc0219_c		syc0219	probable branched-chain amino acid aminotransferase
syc0221-h_at	Synpcc7942_1334	syc0220_c	trpE	syc0220	anthranilate synthetase alpha-subunit
syc0222-h_at	Synpcc7942_1333	syc0221_c		syc0221	transcription regulator ExsB homolog
syc0223-h_at	Synpcc7942_1332	syc0222_c		syc0222	hypothetical protein
syc0224-h_at	Synpcc7942_1331	syc0223_c		syc0223	CAB/ELIP/HLIP superfamily protein
syc0225-h_at	Synpcc7942_1330	syc0224_c		syc0224	hypothetical protein
syc0226-h_at	Synpcc7942_1329	syc0225_c		syc0225	hypothetical protein
syc0227-h_at	Synpcc7942_1328	syc0226_c		syc0226	hypothetical protein
syc0228-h_at	Synpcc7942_1326	syc0227_c		syc0227	transcription-repair coupling factor
syc0229-h_at	Synpcc7942_1325	syc0228_c	dnaB	syc0228	replicative DNA helicase
syc0230-m_at	Synpcc7942_1324	syc0229_d		syc0229	putative helicase
syc0231-h_at	Synpcc7942_1323	syc0230_c	fpg	syc0230	formamidopyrimidine-DNA glycosylase
syc0232-h_at	Synpcc7942_1322	syc0231_c	psaE	syc0231	photosystem I subunit IV psaE
syc0233-m_at	Synpcc7942_1321	syc0232_d		syc0232	hypothetical protein
syc0234-m_at	Synpcc7942_1320	syc0233_d		syc0233	hypothetical protein
syc0235-h_at	Synpcc7942_1319	syc0234_c		syc0234	uracil phosphoribosyltransferase
syc0236-h_at	Synpcc7942_1318	syc0235_c	mntB	syc0235	manganese transport system membrane protein MntB
syc0237-h_at	Synpcc7942_1317	syc0236_c	mntA	syc0236	manganese transport system ATP-binding protein MntA
syc0238-m_at	Synpcc7942_1316	syc0237_d	mntC	syc0237	Mn transporter MntC
syc0239-m_at	Synpcc7942_1315	syc0238_d		syc0238	glucose inhibited division protein
syc0240-m_at	Synpcc7942_1314	syc0239_d	ftsH	syc0239	cell division protein FtsH
syc0241-h_at	Synpcc7942_1313	syc0240_c	aspS	syc0240	aspartyl-tRNA synthetase
syc0242-m_at	Synpcc7942_1312	syc0241_d		syc0241	ATP-binding protein of ABC transporter
syc0243-m_at	Synpcc7942_1311	syc0242_d		syc0242	-
syc0244-h_at	Synpcc7942_1310	syc0243_c	cmpR, ndhR	syc0243	putative ndhF3 operon transcriptional regulator
syc0245-h_at	Synpcc7942_1309	syc0244_c		syc0244	hypothetical protein
syc0246-h_at	Synpcc7942_1308	syc0245_c	trpS	syc0245	tryptophanyl-tRNA synthetase, hypothetical protein
syc0247-h_at	Synpcc7942_1307	syc0246_c		syc0246	hypothetical protein
syc0248-m_at	Synpcc7942_1306	syc0247_d		syc0247	hypothetical protein
syc0249-m_at	Synpcc7942_1305	syc0248_d		syc0248	ABC transporter ATP-binding protein
syc0250-m_at	Synpcc7942_1304	syc0249_d		syc0249	
syc0251-m_at	Synpcc7942_1303	syc0250_d		syc0250	
syc0252-h_at	Synpcc7942_1302	syc0251_c		syc0251	
syc0253-h_at	Synpcc7942_1301	syc0252_c	recQ	syc0252	ATP-dependent DNA helicase RecQ
syc0254-h_at	Synpcc7942_1300	syc0253_c		syc0253	hypothetical protein
syc0255-m_at	Synpcc7942_1299	syc0254_d		syc0254	hypothetical protein
syc0256-h_at	Synpcc7942_1298	syc0255_c		syc0255	hypothetical protein
syc0257-h_at	Synpcc7942_1297	syc0256_c		syc0256	malic enzyme
syc0258-h_at	Synpcc7942_1296	syc0257_c		syc0257	hypothetical protein
syc0259-m_at	Synpcc7942_1295	syc0258_d		syc0258	hypothetical protein
syc0260-h_at	Synpcc7942_1294	syc0259_c		syc0259	serine/threonine kinase
syc0261-m_at	Synpcc7942_1293	syc0260_d	pheT	syc0260	phenylalanyl-tRNA synthetase
syc0262-m_at	Synpcc7942_1292	syc0261_d	dnaG	syc0261	DNA primase
syc0263-h_at	Synpcc7942_1291	syc0262_c	ziaR	syc0262	zinc-responsive repressor ZiaR  Transcription factor ArsR type-2 family
syc0264-m_at	Synpcc7942_1290	syc0263_d		syc0263	SmtA metallothionein
syc0265-h_at	Synpcc7942_1289	syc0264_c	pmbA	syc0264	putative modulator of DNA gyrase; PmbA homolog
syc0266-h_at	Synpcc7942_1288	syc0265_c		syc0265	
syc0267-h_at	Synpcc7942_1287	syc0266_c		syc0266	similar to  S-layer-RTX protein
syc0268-h_at	Synpcc7942_1286	syc0267_c	moeA	syc0267	molybdopterin biosynthesis MoeA protein
syc0269-m_at	Synpcc7942_1285	syc0268_d	moaC	syc0268	molybdenum cofactor biosynthesis protein C
syc0270-m_at	Synpcc7942_1284	syc0269_d		syc0269	molybdopterin converting factor subunit 1
syc0271-m_at	Synpcc7942_1283	syc0270_d		syc0270	molybdopterin converting factor subunit 2
syc0272-m_at	Synpcc7942_1282	syc0271_d	moaA	syc0271	molybdenum cofactor biosynthesis protein A
syc0274-m_at	Synpcc7942_1281	syc0272_d		syc0272	hypothetical protein
syc0275-m_at	Synpcc7942_1280	syc0273_d		syc0273	
syc0276-m_at	Synpcc7942_1278	syc0274_d	rpl35	syc0274	50S ribosomal protein L35
syc0277-m_at	Synpcc7942_1277	syc0275_d	rpl20	syc0275	50S ribosomal protein L20
syc0278-m_at	Synpcc7942_1276	syc0276_d	gtrC	syc0276	periplasmic substrate-binding protein of a TRAP-type permease that mediates sodium-dependent glutamate transport GtrC
syc0279-m_at	Synpcc7942_1275	syc0277_d		syc0277	hypothetical protein
syc0280-m_at	Synpcc7942_1274	syc0278_d	ycf37	syc0278	photosystem I assembly related protein Ycf37
syc0281-h_at	Synpcc7942_1273	syc0279_c		syc0279	hypothetical protein
